prefecture,city,ward,population
Gifu-ken,Minokamo,"",55433
Gifu-ken,Toki,"",60401
Gifu-ken,Kakamigahara,"",148486
Gifu-ken,Kani,"",100944
Gifu-ken,Yamagata,"",28798
Gifu-ken,Mizuho,"",53225
Gifu-ken,Hida,"",25903
Gifu-ken,Motosu,"",35405
Gifu-ken,Gujo,"",44499
Gifu-ken,Gero,"",34976
Gifu-ken,Kaizu,"",36905
"",Kaizu,"",""
Shizuoka-ken,Shizuoka,"",715752
Shizuoka-ken,Shizuoka,Aoi-ku,258380
Shizuoka-ken,Shizuoka,Suruga-ku,212354
Shizuoka-ken,Shizuoka,Shimizu-ku,245018
Shizuoka-ken,Hamamatsu,"",810317
Shizuoka-ken,Hamamatsu,Naka-ku,240396
Shizuoka-ken,Hamamatsu,Higashi-ku,129784
Shizuoka-ken,Hamamatsu,Nishi-ku,113428
Shizuoka-ken,Hamamatsu,Minami-ku,103530
Shizuoka-ken,Hamamatsu,Kita-ku,94604
Shizuoka-ken,Hamamatsu,Hamakita-ku,96613
Shizuoka-ken,Hamamatsu,Tenryu-ku,31962
Shizuoka-ken,Numazu,"",202612
Shizuoka-ken,Atami,"",38442
Shizuoka-ken,Mishima,"",111912
Shizuoka-ken,Fujinomiya,"",135034
Shizuoka-ken,Ito,"",72134
Shizuoka-ken,Shimada,"",100921
Shizuoka-ken,Fuji,"",257697
Shizuoka-ken,Iwata,"",170612
Shizuoka-ken,Yaizu,"",143008
Shizuoka-ken,Kakegawa,"",117681
Shizuoka-ken,Fujieda,"",146725
Shizuoka-ken,Gotemba,"",89231
Shizuoka-ken,Fukuroi,"",87163
Shizuoka-ken,Shimoda,"",23656
Shizuoka-ken,Susono,"",53275
Shizuoka-ken,Kosai,"",61195
Shizuoka-ken,Izu,"",32958
Shizuoka-ken,Omaezaki,"",34017
Shizuoka-ken,Kikugawa,"",47837
Shizuoka-ken,Izunokuni,"",49904
Shizuoka-ken,Makinohara,"",47754
"",Makinohara,"",""
Aichi-ken,Nagoya,"",2260440
Aichi-ken,Nagoya,Chikusa-ku,157597
Aichi-ken,Nagoya,Higashi-ku,74522
Aichi-ken,Nagoya,Kita-ku,163512
Aichi-ken,Nagoya,Nishi-ku,144932
Aichi-ken,Nagoya,Nakamura-ku,132452
Aichi-ken,Nagoya,Naka-ku,79754
Aichi-ken,Nagoya,Showa-ku,101160
Aichi-ken,Nagoya,Mizuho-ku,105061
Aichi-ken,Nagoya,Atsuta-ku,64599
Aichi-ken,Nagoya,Nakagawa-ku,219572
Aichi-ken,Nagoya,Minato-ku,148765
Aichi-ken,Nagoya,Minami-ku,138367
Aichi-ken,Nagoya,Moriyama-ku,171813
Aichi-ken,Nagoya,Midori-ku,241907
Aichi-ken,Nagoya,Meito-ku,160762
Aichi-ken,Nagoya,Tempaku-ku,155665
Aichi-ken,Toyohashi,"",378890
Aichi-ken,Okazaki,"",380537
Aichi-ken,Ichinomiya,"",386538
Aichi-ken,Seto,"",131380
Aichi-ken,Handa,"",118783
Aichi-ken,Kasugai,"",310495
Aichi-ken,Toyokawa,"",185111
Aichi-ken,Tsushima,"",64450
Aichi-ken,Hekinan,"",71739
Aichi-ken,Kariya,"",148669
Aichi-ken,Toyota,"",421701
Aichi-ken,Anjo,"",184892
Aichi-ken,Nishio,"",170159
Aichi-ken,Gamagori,"",81717
Aichi-ken,Inuyama,"",74780
Aichi-ken,Tokoname,"",57780
Aichi-ken,Konan,"",101204
Aichi-ken,Komaki,"",153744
Aichi-ken,Inazawa,"",138526
Aichi-ken,Shinshiro,"",49112
Aichi-ken,Tokai,"",112694
Aichi-ken,Obu,"",89049
Aichi-ken,Chita,"",85742
Aichi-ken,Chiryu,"",70555
Aichi-ken,Owariasahi,"",82359
Aichi-ken,Takahama,"",46295
Aichi-ken,Iwakura,"",47693
Aichi-ken,Toyoake,"",68530
Aichi-ken,Nissin,"",86962
Aichi-ken,Tahara,"",64721
Aichi-ken,Aisai,"",65237
Aichi-ken,Kiyosu,"",66707
Aichi-ken,Kitanagoya,"",83846
Aichi-ken,Yatomi,"",44481
Aichi-ken,Miyoshi,"",59748
Aichi-ken,Ama,"",88364
Aichi-ken,Nagakute,"",54480
"",Nagakute,"",""
Mie-ken,Tsu,"",284620
Mie-ken,Yokkaichi,"",312753
Mie-ken,Ise,"",130865
Mie-ken,Matsusaka,"",168682
Mie-ken,Kuwana,"",142808
Mie-ken,Suzuka,"",201035
Mie-ken,Nabari,"",81014
Mie-ken,Owase,"",19587
Mie-ken,Kameyama,"",50054
Mie-ken,Toba,"",20445
Mie-ken,Kumano,"",18340
Mie-ken,Inabe,"",46245
Mie-ken,Shima,"",53969
Mie-ken,Iga,"",95743
"",Iga,"",""
Shiga-ken,Otsu,"",342832
Shiga-ken,Hikone,"",112750
Shiga-ken,Nagahama,"",121818
Shiga-ken,Omihachiman,"",82498
Shiga-ken,Kusatsu,"",128843
Shiga-ken,Moriyama,"",80684
Shiga-ken,Ritto,"",67284
Shiga-ken,Koka,"",92836
Shiga-ken,Yasu,"",50867
Shiga-ken,Konan,"",54953
Shiga-ken,Takashima,"",51598
Shiga-ken,Higashiomi,"",115704
Shiga-ken,Maibara,"",40128
"",Maibara,"",""
Kyoto-fu,Kyoto,"",1419474
Kyoto-fu,Kyoto,Kita-ku,112006
Kyoto-fu,Kyoto,Kamigyo-ku,76947
Kyoto-fu,Kyoto,Sakyo-ku,156069
Kyoto-fu,Kyoto,Nakagyo-ku,104345
Kyoto-fu,Kyoto,Higashiyama-ku,37183
Kyoto-fu,Kyoto,Shimogyo-ku,76814
Kyoto-fu,Kyoto,Minami-ku,98433
Kyoto-fu,Kyoto,Ukyo-ku,195921
Kyoto-fu,Kyoto,Fushimi-ku,278230
Kyoto-fu,Kyoto,Yamashina-ku,131699
Kyoto-fu,Kyoto,Nishikyo-ku,151827
Kyoto-fu,Fukuchiyama,"",80682
Kyoto-fu,Maizuru,"",86996
Kyoto-fu,Ayabe,"",35419
Kyoto-fu,Uji,"",190856
Kyoto-fu,Miyazu,"",19452
Kyoto-fu,Kameoka,"",91548
Kyoto-fu,Joyo,"",78560
Kyoto-fu,Muko,"",54340
Kyoto-fu,Nagaokakyo,"",80222
Kyoto-fu,Yawata,"",73038
Kyoto-fu,Kyotanabe,"",66697
Kyoto-fu,Kyotango,"",58514
Kyoto-fu,Nantan,"",33418
Kyoto-fu,Kizugawa,"",73095
"",Kizugawa,"",""
Osaka-fu,Osaka,"",2670766
Osaka-fu,Osaka,Miyakojima-ku,102667
Osaka-fu,Osaka,Fukushima-ku,70410
Osaka-fu,Osaka,Konohana-ku,67821
Osaka-fu,Osaka,Nishi-ku,88140
Osaka-fu,Osaka,Minato-ku,82696
Osaka-fu,Osaka,Taisho-ku,67941
Osaka-fu,Osaka,Tennoji-ku,72229
Osaka-fu,Osaka,Naniwa-ku,62281
Osaka-fu,Osaka,Nishiyodogawa-ku,97224
Osaka-fu,Osaka,Higashiyodogawa-ku,171422
Osaka-fu,Osaka,Higashinari-ku,80817
Osaka-fu,Osaka,Ikuno-ku,128523
Osaka-fu,Osaka,Asahi-ku,91407
Osaka-fu,Osaka,Joto-ku,167214
Osaka-fu,Osaka,Abeno-ku,107407
Osaka-fu,Osaka,Sumiyoshi-ku,153907
Osaka-fu,Osaka,Higashisumiyoshi-ku,130951
Osaka-fu,Osaka,Nishinari-ku,110413
Osaka-fu,Osaka,Yodogawa-ku,172081
Osaka-fu,Osaka,Tsurumi-ku,112630
Osaka-fu,Osaka,Suminoe-ku,125063
Osaka-fu,Osaka,Hirano-ku,200797
Osaka-fu,Osaka,Kita-ku,114894
Osaka-fu,Osaka,Chuo-ku,91831
Osaka-fu,Sakai,"",847719
Osaka-fu,Sakai,Sakai-ku,146366
Osaka-fu,Sakai,Naka-ku,125225
Osaka-fu,Sakai,Higashi-ku,87279
Osaka-fu,Sakai,Nishi-ku,138480
